model,actual_w,predicted_w
Linijinė regresija,0.0,626.0401418450647
Linijinė regresija,0.0,320.898362180219
Linijinė regresija,0.0,632.7237726115318
Linijinė regresija,0.0,232.27696567553267
Linijinė regresija,0.0,653.711043907012
Linijinė regresija,0.0,356.46357616248224
Linijinė regresija,0.0,566.1873638749666
Linijinė regresija,102.885714285,547.3686221046564
Linijinė regresija,295.81904761904764,888.5678052134035
Linijinė regresija,998.5333333333332,1350.2822484086619
Linijinė regresija,681.80178571,1065.495983445916
Linijinė regresija,2058.3338095238096,2246.9483392127977
Linijinė regresija,1415.70357144,1876.435029326999
Linijinė regresija,3471.639047619048,3734.784091536515
Linijinė regresija,2310.9482142,2974.4949722861156
Linijinė regresija,5000.258095238095,5317.865656761075
Linijinė regresija,4238.5339287,4907.450074662741
Linijinė regresija,6918.0517858,7236.675580620115
Linijinė regresija,6375.486666666667,6848.1794071697595
Linijinė regresija,6915.775,7133.455049458432
Linijinė regresija,7954.534761904762,8630.527663143987
Linijinė regresija,9274.9964286,9485.13474416764
Linijinė regresija,9879.97476190476,9875.997160967036
Linijinė regresija,9131.7571429,9876.618147584053
Linijinė regresija,9943.520952380952,9838.022345915462
Linijinė regresija,7710.522380952381,7970.304860975401
Linijinė regresija,7727.117857,7605.397486657611
Linijinė regresija,11488.042857142858,10546.546080491058
Linijinė regresija,10717.5285713,9581.137487240256
Linijinė regresija,11674.7464285,11601.772008072869
Linijinė regresija,9430.033333333333,9843.116672492743
Linijinė regresija,12997.8499999,13033.435620441727
Linijinė regresija,14985.193333333333,14664.46522477216
Linijinė regresija,10814.327142857142,12526.907870101808
Linijinė regresija,17473.3892856,15577.172676922444
Linijinė regresija,17301.757142899998,15986.750713740628
Linijinė regresija,11403.442857142858,12356.945904541531
Linijinė regresija,10623.3,11150.201683196734
Linijinė regresija,17687.067857000002,16384.335940671837
Linijinė regresija,18251.4624999,16655.421604995812
Linijinė regresija,12226.275238095235,11898.307624509132
Linijinė regresija,16705.044643,15400.886114482939
Linijinė regresija,14106.534285714286,16666.411245287432
Linijinė regresija,22742.3160715,16765.655838930234
Linijinė regresija,14519.21476190476,17861.220748720447
Linijinė regresija,24517.432143,18880.940387894872
Linijinė regresija,10018.790476190476,13569.419831775882
Linijinė regresija,14896.86,16841.555848994616
Linijinė regresija,19578.0464286,18046.51048547064
Linijinė regresija,13378.19238095238,17321.041713586
Linijinė regresija,18606.6125,17160.394124826093
Linijinė regresija,18894.5803573,17986.901754019418
Linijinė regresija,12859.930476190477,16348.67620992997
Linijinė regresija,11474.687142857145,14113.129565654355
Linijinė regresija,12405.7303572,13349.700879093347
Linijinė regresija,11908.557142857142,13580.224202748894
Linijinė regresija,14550.9910715,14324.135901748436
Linijinė regresija,16330.534761904762,17503.305071331404
Linijinė regresija,13922.9750001,13790.997037381021
Linijinė regresija,13606.7857144,13161.12150489234
Linijinė regresija,16859.98380952381,18035.785385753716
Linijinė regresija,15401.6553572,14288.657789891833
Linijinė regresija,15244.790952380954,18263.229594585573
Linijinė regresija,17124.8982142,14219.871359620247
